Inventory_id,Quantity,Branch_id,Book_id
3,0,1,3
8,0,3,8
13,0,5,13
18,0,7,3
23,0,9,8
31,0,9,8
38,0,11,15
44,0,13,21
49,0,15,26
54,0,17,31
59,0,18,36
63,0,20,40
70,0,22,47
75,0,24,52
81,0,26,58
87,0,28,64
93,0,30,70
98,0,31,75
102,0,33,79
107,0,34,84
111,0,36,88
117,0,38,94
123,0,40,100
125,0,1,104
132,0,3,111
136,0,5,115
143,0,7,122
148,0,9,127
153,0,10,132
158,0,12,137
163,0,14,2
168,0,15,7
173,0,17,12
178,0,19,17
183,0,20,22
189,0,22,28
194,0,24,33
199,0,26,38
204,0,27,43
209,0,29,48
214,0,31,53
220,0,33,59
226,0,35,65
232,0,36,71
238,0,38,77
244,0,1,83
249,0,2,88
254,0,4,93
259,0,6,98
265,0,8,104
271,0,10,110
277,0,12,116
283,0,14,122
288,0,15,127
294,0,17,133
299,0,19,138
305,0,21,4
310,0,23,9
316,0,25,15
321,0,27,20
325,0,28,24
329,0,29,28
334,0,31,33
341,0,33,40
346,0,35,45
351,0,37,50
355,0,38,54
360,0,40,59
366,0,1,65
371,0,3,70
377,0,5,76
382,0,7,81
388,0,9,87
393,0,10,92
399,0,12,98
1,10,1,1
2,5,1,2
4,8,2,4
5,12,2,5
6,0,2,6
7,15,3,7
9,4,3,9
10,7,4,10
11,2,4,11
12,20,5,12
14,18,5,14
15,6,6,15
16,11,6,1
17,9,7,2
19,13,8,4
20,1,8,5
21,0,8,6
22,25,9,7
24,17,9,9
25,14,10,10
26,5,10,11
27,19,10,12
28,1,8,5
29,0,8,6
30,25,9,7
32,17,9,9
33,14,10,10
34,5,10,11
35,19,10,12
36,21,11,13
37,3,11,14
39,7,12,16
40,10,12,17
41,0,12,18
42,13,13,19
43,16,13,20
45,5,14,22
46,9,14,23
47,7,14,24
48,11,15,25
50,18,15,27
51,4,16,28
52,2,16,29
53,15,16,30
55,8,17,32
56,12,17,33
57,10,18,34
58,6,18,35
60,9,19,37
61,7,19,38
62,3,19,39
64,14,20,41
65,16,20,42
66,0,21,43
67,5,21,44
68,11,21,45
69,10,22,46
71,9,22,48
72,13,23,49
73,4,23,50
74,7,23,51
76,8,24,53
77,15,24,54
78,6,25,55
79,11,25,56
80,10,25,57
82,14,26,59
83,5,26,60
84,12,27,61
85,0,27,62
86,9,27,63
88,7,28,65
89,8,28,66
90,13,29,67
91,6,29,68
92,15,29,69
94,10,30,71
95,12,30,72
96,0,31,73
97,5,31,74
99,9,32,76
100,8,32,77
101,15,32,78
103,12,33,80
104,10,33,81
105,6,34,82
106,11,34,83
108,13,35,85
109,4,35,86
110,7,35,87
112,8,36,89
113,15,36,90
114,6,37,91
115,11,37,92
116,10,37,93
118,12,38,95
119,5,38,96
120,14,39,97
121,7,39,98
122,9,39,99
124,14,1,103
126,7,1,105
127,9,2,106
128,0,2,107
129,11,2,108
130,15,3,109
131,8,3,110
133,12,4,112
134,5,4,113
135,10,4,114
137,7,5,116
138,9,5,117
139,11,6,118
140,0,6,119
141,14,6,120
142,13,7,121
144,4,7,123
145,8,8,124
146,6,8,125
147,10,8,126
149,7,9,128
150,9,9,129
151,12,10,130
152,5,10,131
154,15,11,133
155,8,11,134
156,0,11,135
157,9,12,136
159,13,12,138
160,7,13,139
161,11,13,140
162,14,13,1
164,5,14,3
165,10,14,4
166,8,15,5
167,6,15,6
169,12,16,8
170,7,16,9
171,9,16,10
172,11,17,11
174,4,17,13
175,8,18,14
176,5,18,15
177,10,18,16
179,6,19,18
180,15,19,19
181,13,20,20
182,7,20,21
184,9,21,23
185,14,21,24
186,11,21,25
187,5,22,26
188,0,22,27
190,10,23,29
191,8,23,30
192,7,23,31
193,15,24,32
195,9,24,34
196,12,25,35
197,6,25,36
198,14,25,37
200,7,26,39
201,5,26,40
202,10,27,41
203,9,27,42
205,11,28,44
206,13,28,45
207,7,28,46
208,4,29,47
210,10,29,49
211,8,30,50
212,5,30,51
213,15,30,52
215,9,31,54
216,12,31,55
217,7,32,56
218,11,32,57
219,14,32,58
221,5,33,60
222,10,33,61
223,6,34,62
224,9,34,63
225,7,34,64
227,13,35,66
228,11,35,67
229,5,35,68
230,10,36,69
231,8,36,70
233,15,37,72
234,7,37,73
235,9,37,74
236,12,38,75
237,5,38,76
239,10,39,78
240,6,39,79
241,14,39,80
242,11,40,81
243,7,40,82
245,10,1,84
246,7,1,85
247,13,2,86
248,5,2,87
250,9,3,89
251,8,3,90
252,12,3,91
253,15,4,92
255,6,4,94
256,10,5,95
257,7,5,96
258,4,5,97
260,11,6,99
261,13,6,100
262,8,7,101
263,10,7,102
264,7,7,103
266,9,8,105
267,12,8,106
268,5,9,107
269,14,9,108
270,11,9,109
272,6,10,111
273,10,10,112
274,8,11,113
275,13,11,114
276,7,11,115
278,9,12,117
279,12,12,118
280,5,13,119
281,14,13,120
282,11,13,121
284,6,14,123
285,10,14,124
286,8,15,125
287,7,15,126
289,13,16,128
290,9,16,129
291,12,16,130
292,5,17,131
293,14,17,132
295,11,18,134
296,10,18,135
297,8,18,136
298,7,19,137
300,13,20,139
301,9,20,140
302,12,20,1
303,5,21,2
304,14,21,3
306,11,22,5
307,10,22,6
308,8,22,7
309,7,23,8
311,13,23,10
312,9,24,11
313,12,24,12
314,5,24,13
315,14,25,14
317,11,25,16
318,10,26,17
319,8,26,18
320,7,26,19
322,13,27,21
323,9,27,22
324,12,28,23
326,10,28,25
327,8,29,26
328,7,29,27
330,14,30,29
331,5,30,30
332,11,30,31
333,9,31,32
335,13,31,34
336,7,32,35
337,10,32,36
338,8,32,37
339,6,33,38
340,12,33,39
342,14,34,41
343,5,34,42
344,11,34,43
345,9,35,44
347,13,35,46
348,7,36,47
349,10,36,48
350,8,36,49
352,12,37,51
353,5,37,52
354,14,38,53
356,11,38,55
357,10,39,56
358,8,39,57
359,7,39,58
361,13,40,60
362,9,40,61
363,12,1,62
364,5,1,63
365,14,1,64
367,11,2,66
368,10,2,67
369,8,2,68
370,7,3,69
372,13,3,71
373,9,4,72
374,12,4,73
375,5,4,74
376,14,5,75
378,11,5,77
379,10,6,78
380,8,6,79
381,7,6,80
383,13,7,82
384,9,7,83
385,12,8,84
386,5,8,85
387,14,8,86
389,11,9,88
390,10,9,89
391,8,10,90
392,7,10,91
394,13,11,93
395,9,11,94
396,12,11,95
397,5,12,96
398,14,12,97
400,11,13,99
401,10,13,100
402,8,13,101
403,7,14,102
