Review_id,Rating,Customer_id,Book_id
1,2,61,9
2,5,66,4
3,2,84,22
4,1,71,6
5,5,140,15
6,5,34,27
7,4,147,28
8,3,73,12
9,1,15,26
10,5,23,29
11,1,21,16
12,5,139,31
13,2,157,15
14,0,108,5
15,1,148,32
16,4,96,23
17,5,200,28
18,1,74,10
19,4,37,5
20,5,124,33
21,2,95,13
22,3,115,15
23,1,123,12
24,5,77,27
25,5,25,7
26,2,189,15
27,5,121,6
28,1,26,8
29,1,96,29
30,1,101,11
31,3,154,24
32,5,52,23
33,2,152,2
34,2,179,14
35,2,9,33
36,4,39,37
37,3,10,27
38,0,29,25
39,2,84,37
40,2,11,40
41,4,109,40
42,5,160,17
43,5,174,2
44,2,127,33
45,5,126,29
46,2,135,1
47,1,91,1
48,3,1,39
49,5,188,18
50,4,22,19
