Book_id,Author_id
1,1
47,1
48,1
49,1
50,1
61,1
62,1
63,1
64,1
67,1
68,1
69,1
70,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
95,1
96,1
97,1
98,1
101,1
102,1
103,1
104,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
129,1
130,1
131,1
132,1
135,1
136,1
137,1
138,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
163,1
164,1
165,1
166,1
169,1
170,1
171,1
172,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
197,1
198,1
199,1
200,1
203,1
204,1
205,1
206,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
231,1
232,1
233,1
234,1
237,1
238,1
239,1
240,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
265,1
266,1
267,1
268,1
271,1
272,1
273,1
274,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
299,1
300,1
301,1
302,1
305,1
306,1
307,1
308,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
333,1
334,1
335,1
336,1
339,1
340,1
341,1
342,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
367,1
368,1
369,1
370,1
373,1
374,1
375,1
376,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
401,1
402,1
403,1
404,1
407,1
408,1
409,1
410,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
435,1
436,1
437,1
438,1
441,1
442,1
443,1
444,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
469,1
470,1
471,1
472,1
475,1
476,1
477,1
478,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
503,1
504,1
505,1
506,1
509,1
510,1
511,1
512,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
537,1
538,1
539,1
540,1
543,1
544,1
545,1
546,1
7,7
65,7
66,7
71,7
72,7
75,7
76,7
99,7
100,7
105,7
106,7
109,7
110,7
133,7
134,7
139,7
140,7
143,7
144,7
167,7
168,7
173,7
174,7
177,7
178,7
201,7
202,7
207,7
208,7
211,7
212,7
235,7
236,7
241,7
242,7
245,7
246,7
269,7
270,7
275,7
276,7
279,7
280,7
303,7
304,7
309,7
310,7
313,7
314,7
337,7
338,7
343,7
344,7
347,7
348,7
371,7
372,7
377,7
378,7
381,7
382,7
405,7
406,7
411,7
412,7
415,7
416,7
439,7
440,7
445,7
446,7
449,7
450,7
473,7
474,7
479,7
480,7
483,7
484,7
507,7
508,7
513,7
514,7
517,7
518,7
541,7
542,7
547,7
548,7
2,2
3,3
41,3
42,3
55,3
56,3
73,3
74,3
89,3
90,3
107,3
108,3
123,3
124,3
141,3
142,3
157,3
158,3
175,3
176,3
191,3
192,3
209,3
210,3
225,3
226,3
243,3
244,3
259,3
260,3
277,3
278,3
293,3
294,3
311,3
312,3
327,3
328,3
345,3
346,3
361,3
362,3
379,3
380,3
395,3
396,3
413,3
414,3
429,3
430,3
447,3
448,3
463,3
464,3
481,3
482,3
497,3
498,3
515,3
516,3
531,3
532,3
549,3
550,3
4,4
43,4
44,4
57,4
58,4
91,4
92,4
125,4
126,4
159,4
160,4
193,4
194,4
227,4
228,4
261,4
262,4
295,4
296,4
329,4
330,4
363,4
364,4
397,4
398,4
431,4
432,4
465,4
466,4
499,4
500,4
533,4
534,4
5,5
51,5
52,5
85,5
86,5
119,5
120,5
153,5
154,5
187,5
188,5
221,5
222,5
255,5
256,5
289,5
290,5
323,5
324,5
357,5
358,5
391,5
392,5
425,5
426,5
459,5
460,5
493,5
494,5
527,5
528,5
6,6
53,6
54,6
87,6
88,6
121,6
122,6
155,6
156,6
189,6
190,6
223,6
224,6
257,6
258,6
291,6
292,6
325,6
326,6
359,6
360,6
393,6
394,6
427,6
428,6
461,6
462,6
495,6
496,6
529,6
530,6
8,8
9,9
45,9
46,9
59,9
60,9
93,9
94,9
127,9
128,9
161,9
162,9
195,9
196,9
229,9
230,9
263,9
264,9
297,9
298,9
331,9
332,9
365,9
366,9
399,9
400,9
433,9
434,9
467,9
468,9
501,9
502,9
535,9
536,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
29,27
28,28
30,28
31,29
32,30
33,31
34,32
35,33
36,34
37,35
38,36
39,37
40,38
